PickRequest,1/25/14 9:30:12 AM,CFC1B4238BDC8AF4D14544E0DFC42EED0B8D8536,1518,98055be6-c31f-4c5a-b01d-7df10160ca0a,PickPut,,2388,256,Picking,476797,32304,,,1,O,,,,,1902980000336,45449,1,656907
PickRequest,1/25/14 9:34:37 AM,42177D37DE4F9A949743E8F8727DA9E9DE06396B,1976,a1d78d8b-d54c-4ec8-b443-db5f87a5b781,PickPut,,2598,544,Picking,478082,35576,,,3,O,,,,,O,,,,,O,,,,,1903220000380,49802,3,656884
PickRequest,1/25/14 9:35:03 AM,42177D37DE4F9A949743E8F8727DA9E9DE06396B,1979,a1d78d8b-d54c-4ec8-b443-db5f87a5b781,PickPut,,2598,544,Picking,478082,35623,,,1,O,,,,,1903220000382,49807,1,656884
PickRequest,1/25/14 9:30:32 AM,42177D37DE4F9A949743E8F8727DA9E9DE06396B,1958,a1d78d8b-d54c-4ec8-b443-db5f87a5b781,PickPut,,2598,544,Picking,478082,35078,,,3,O,,,,,O,,,,,O,,,,,1903220000300,54579,3,656884
PickRequest,1/25/14 9:35:14 AM,CFC1B4238BDC8AF4D14544E0DFC42EED0B8D8536,1539,98055be6-c31f-4c5a-b01d-7df10160ca0a,PickPut,,2388,256,Picking,476797,32947,,,3,O,,,,,O,,,,,O,,,,,1902980000396,85853,3,656938
PickRequest,1/25/14 9:35:32 AM,42177D37DE4F9A949743E8F8727DA9E9DE06396B,1982,a1d78d8b-d54c-4ec8-b443-db5f87a5b781,PickPut,,2598,544,Picking,478082,36117,,,2,O,,,,,O,,,,,1903220000304,46372,2,656884
PickRequest,1/25/14 9:35:33 AM,CFC1B4238BDC8AF4D14544E0DFC42EED0B8D8536,1541,98055be6-c31f-4c5a-b01d-7df10160ca0a,PickPut,,2388,256,Picking,476797,33001,,,1,O,,,,,1902980000397,85851,1,656938
PickRequest,1/25/14 9:30:34 AM,CFC1B4238BDC8AF4D14544E0DFC42EED0B8D8536,1520,98055be6-c31f-4c5a-b01d-7df10160ca0a,PickPut,,2388,256,Picking,476797,32336,,,1,O,,,,,1902980000479,81624,1,656907
PickRequest,1/25/14 9:30:34 AM,5E63A8658ED097399BD8E84CAFD094C42573690A,472,79c395b0-1d32-40dc-aed1-093d896dca48,PickPut,,90805,769,Picking,477038,34882,,,2,O,,,,,O,,,,,1903140000721,55427,2,656864
PickRequest,1/25/14 9:35:47 AM,42177D37DE4F9A949743E8F8727DA9E9DE06396B,1984,a1d78d8b-d54c-4ec8-b443-db5f87a5b781,PickPut,,2598,544,Picking,478082,36141,,,1,O,,,,,1903220000306,46378,1,656884
